#elves	#santa	Average
3	1	386,000135
3	2	363,108577
4	1	211,702406
4	2	207,332264
5	1	149,584817
5	2	140,397445
6	1	108,09323
6	2	106,260279
6	3	105,268296
7	1	87,065928
7	2	84,962247
7	3	85,321716
8	1	75,919911
8	2	68,529766
8	3	71,110951
9	1	62,834583
9	2	60,777993
9	3	63,013102
9	4	60,002872
10	1	55,896135
10	2	53,337571
10	3	52,67579
10	4	52,809349
11	1	51,304121
11	2	46,775544
11	3	48,17935
11	4	45,869274
12	1	44,849123
12	2	41,784694
12	3	42,855126
12	4	43,397346
12	5	42,561864
13	1	41,162127
13	2	39,528365
13	3	39,028538
13	4	39,009248
13	5	39,011415
14	1	38,618254
14	2	35,097348
14	3	40,929528
14	4	35,821259
14	5	36,447343
15	1	34,561231
15	2	32,812946
15	3	32,627448
15	4	31,486197
15	5	32,880922
15	6	32,567636

