N_REINDEER	N_ELVES	N_SANTA	AVERAGE	STANDARD_DEVIATION
9	3	1	2,479269	42,922296
9	3	2	4,806915	24,561430
9	4	1	2,866009	2,471306
9	4	2	6,431135	24,435971
9	5	1	1,130862	0,584695
9	5	2	11,085466	32,359020
9	6	1	5,966485	106,225073
9	6	2	16,347923	36,178444
9	6	3	4,237563	19,184864
9	7	1	2,981581	1,989095
9	7	2	20,820629	40,430112
9	7	3	6,684115	24,426014
9	8	1	3,052295	1,664251
9	8	2	23,158060	39,823536
9	8	3	7,863876	19,813218
9	9	1	2,529542	1,795349
9	9	2	27,098613	44,851276
9	9	3	9,943224	20,936004
9	9	4	3,433525	15,484542
9	10	1	7,513771	125,337188
9	10	2	32,840042	51,737850
9	10	3	12,697592	25,908742
9	10	4	4,137087	14,970923
9	11	1	8,282871	140,345841
9	11	2	36,921246	58,471509
9	11	3	13,012651	24,470763
9	11	4	7,329604	19,186147
9	12	1	6,327410	114,707713
9	12	2	40,276354	56,594499
9	12	3	17,348391	30,084680
9	12	4	9,139374	22,338075
9	12	5	4,959002	17,011106
9	13	1	2,771288	1,505727
9	13	2	43,484485	58,512102
9	13	3	19,916634	31,667990
9	13	4	10,501347	24,209356
9	13	5	5,683635	18,084358
9	14	1	10,417665	167,368941
9	14	2	47,909193	65,260224
9	14	3	22,570076	34,089121
9	14	4	12,650003	27,820432
9	14	5	7,001364	20,079284
9	15	1	10,978239	175,519008
9	15	2	52,252168	66,024064
9	15	3	24,179759	34,137666
9	15	4	14,062166	23,187707
9	15	5	8,711376	21,558790
9	15	6	5,474456	18,776092
