N_REINDEER	N_ELVES	N_SANTA	AVERAGE	STANDARD_DEVIATION
9	3	1	1,429524	8,638354
9	3	2	2,562540	18,847597
9	4	1	1,745940	26,042531
9	4	2	6,405914	24,358389
9	5	1	1,261982	1,066949
9	5	2	10,202520	31,505249
9	6	1	1,672698	21,094211
9	6	2	13,111676	28,494218
9	6	3	2,325319	11,757062
9	7	1	1,211782	0,881800
9	7	2	17,248891	35,972556
9	7	3	4,508581	17,211428
9	8	1	1,049318	0,483740
9	8	2	20,287612	36,487690
9	8	3	6,229259	16,676789
9	9	1	1,329375	1,585198
9	9	2	23,365227	37,055245
9	9	3	8,126676	17,119269
9	9	4	2,871975	16,431270
9	10	1	1,338924	2,040123
9	10	2	26,688424	39,587476
9	10	3	11,255344	25,591611
9	10	4	3,994647	15,443122
9	11	1	1,233554	0,967787
9	11	2	30,826014	44,657730
9	11	3	12,836345	26,997867
9	11	4	5,712866	17,034502
9	12	1	2,631304	26,732681
9	12	2	34,106807	46,976969
9	12	3	14,567595	21,178528
9	12	4	7,312264	17,542911
9	12	5	3,201946	12,564619
9	13	1	1,268823	1,769069
9	13	2	38,730381	54,613018
9	13	3	16,738705	27,724419
9	13	4	8,701278	20,620218
9	13	5	4,536997	20,462764
9	14	1	1,493888	20,122380
9	14	2	42,291931	56,759796
9	14	3	18,180174	24,303519
9	14	4	9,696315	20,645122
9	14	5	5,918687	20,236506
9	15	1	1,131104	0,586317
9	15	2	46,796120	60,979297
9	15	3	19,830467	24,406928
9	15	4	11,848424	25,084372
9	15	5	7,010802	18,838187
9	15	6	4,105382	15,515543
