n_reind	n_elves	n_santa	average	std_dev	num_data
9	3	1	9,549817	8,413684	106
9	3	2	10,409886	5,551486	105
9	4	1	10,249748	6,751379	105
9	4	2	7,753102	5,316385	107
9	5	1	11,599779	15,176536	106
9	5	2	8,990091	5,980919	105
9	6	1	14,497166	20,730894	104
9	6	2	8,696622	5,640467	106
9	6	3	9,680776	5,567593	105
9	7	1	13,167455	20,927525	105
9	7	2	7,501317	5,711270	107
9	7	3	8,517893	5,362604	106
9	8	1	20,623689	55,747573	104
9	8	2	8,096678	6,461415	107
9	8	3	8,813758	5,857962	106
9	9	1	10,560891	14,772958	106
9	9	2	8,585136	5,988318	106
9	9	3	7,404272	5,556440	107
9	9	4	8,917414	5,859494	106
9	10	1	15,542519	24,223981	105
9	10	2	9,436122	5,555998	105
9	10	3	9,114784	5,741981	106
9	10	4	9,050377	5,373977	105
9	11	1	12,548093	18,426207	106
9	11	2	8,772031	6,527673	106
9	11	3	7,407332	5,494760	107
9	11	4	8,129958	5,919259	107
9	12	1	14,719108	18,563505	105
9	12	2	8,656394	6,454687	106
9	12	3	8,260936	5,361072	106
9	12	4	8,462901	5,639912	106
9	12	5	7,557921	4,848671	107
9	13	1	13,179655	17,893379	105
9	13	2	7,042425	5,247939	107
9	13	3	9,219160	6,582863	105
9	13	4	9,022081	5,883195	105
9	13	5	10,130412	6,565942	105
9	14	1	15,951665	16,574982	104
9	14	2	8,699196	5,435313	106
9	14	3	9,115571	5,953452	106
9	14	4	8,906090	6,003647	106
9	14	5	9,303368	5,980840	105
9	15	1	11,490558	9,066842	105
9	15	2	7,288948	5,768268	107
9	15	3	6,848244	3,759857	108
9	15	4	7,011625	4,274935	108
9	15	5	6,078179	3,440422	109
9	15	6	7,037545	4,092462	108
